N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
40,1,2,3,3099.15,2566.76,1887.97,2259.94,2689.05,1637.72,2648.34,2146.37,0.118346,
40,1,2,4,3099.15,2566.76,1887.97,2259.94,2689.05,1637.72,2648.34,2146.37,0.118346,
40,1,2,5,3099.15,2566.76,1887.97,2259.94,2689.05,1637.72,2648.34,2146.37,0.118346,
40,1,2,6,2064.58,1387.26,1799.91,1399.52,2233.67,1570.49,3002.12,2944.04,0.10251,
40,1,2,7,2064.58,1387.26,1799.91,1399.52,2233.67,1570.49,3002.12,2944.04,0.10251,
40,1,2,8,2064.58,1387.26,1799.91,1399.52,2233.67,1570.49,3002.12,2944.04,0.10251,
40,1,2,9,2064.58,1387.26,1799.91,1399.52,2233.67,1570.49,3002.12,2944.04,0.10251,
40,1,2,10,2190.92,2852.15,1376.71,3176.86,2616.93,2287.3,3476.82,2393.61,0.127321,
,,,,,,,,,,,,,=STDEV.S(M64:M73),
,,,,,,,,,,,,,,
Test_2: Mean energy flux for changing difference of boundary temperatures. Fix TL = 1 and change TR from 1.5 to 10.0.,,,,,,,,,,,,,,
15,1,1.5,1,1265.65,1501.47,977.948,1372.2,499.508,1056.99,1013.72,1331.89,0.0563711,
15,1,1.5,2,1265.65,1501.47,977.948,1372.2,499.508,1056.99,1013.72,1331.89,0.0563711,
15,1,1.5,3,1265.65,1501.47,977.948,1372.2,499.508,1056.99,1013.72,1331.89,0.0563711,
15,1,1.5,4,1265.65,1501.47,977.948,1372.2,499.508,1056.99,1013.72,1331.89,0.0563711,
15,1,1.5,5,1265.65,1501.47,977.948,1372.2,499.508,1056.99,1013.72,1331.89,0.0563711,
15,1,1.5,6,1265.65,1501.47,977.948,1372.2,499.508,1056.99,1013.72,1331.89,0.0563711,
15,1,1.5,7,826.583,1054.86,1332.57,998.734,562.685,1502.9,1445.76,1003.92,0.0545501,
15,1,1.5,8,826.583,1054.86,1332.57,998.734,562.685,1502.9,1445.76,1003.92,0.0545501,
